书名,作者,总点击量,字数,简介
全能训练家：开局截胡莎莉娜,回忆往昔,1110万,198万,主角没来精灵世界之前：勾豪：“老子就是天命之子、天选之人、一球超人”主角来了精灵世界之后：勾豪：“倒霉，倒霉，怎么这么倒霉，怎么老是被小精灵追杀......
抗战：我八级钳工，开局手搓航母,抗战名将千寻,1110万,201万,航母工程师范晓鹤穿越抗战世界，成为边区后勤部的一名八级钳工。同时，一款神级系统降临。开局就让他这个八级钳工，手搓一艘航空母舰！不仅如此，身为钳工......
娱乐：扮演张麒麟，被杨老板逼婚,一把斩魄刀,1109万,230万,张麒穿越平行世界，成为了杨老板的未婚夫。杨老板让他婚后回家带孩子，每月给2000万生活费。张麒不想吃软饭，于是果断参演了全球直播的《荒岛探秘真人......
西游：我，黑无常，地府签到十万年,西游无常,1108万,283万,穿越西游，开局成为黑无常。一想到日后会被孙悟空打得魂飞魄散，江尘有点慌。好在这时，神级签到系统激活。在阎罗殿签到，获得【冥书】。在奈何桥签到，获......
大明：重八老弟，二哥教你治国,神龙天一,1108万,214万,至正十年，朱乾穿越成朱元璋失散的二哥朱重六。二十年来，朱元璋一直都在寻找自己二哥。洪武十二年，朱重六给自己亲弟弟朱元璋写了一封信。朱元璋得知自己......
全民转职：开局虫族，我无敌了！,小皮蛋吖,1108万,213万,全球异变，游戏世界降临现实！凶兽肆虐、副本升级、秘境探宝！这是个人人转职的世界！陆衡穿越而来，在转职仪式上，激活三大隐藏职业天降异象，人人嫉妒。......
我都机械飞升了，你说是正常都市,疾风归途,1108万,230万,苏川刚刚穿越，开局就发现有“飞船”在天上飞、“飞车”时不时疾驰而过，一旁更是有成熟“机器人”来回走动。当下，他以为自己穿越的是一个高级黑科技世界......
开局一个游艇公司,三花五罗,1108万,114万,秦得到系统，拥有豪华游艇公司。只要每一艘游艇下水，每秒都有金钱的收入。紧接着，便是第二艘，第三艘。游艇的等级，越来越高级豪华。其程度，远超过世界......
二次元动漫大佬,欧皇与非酋,1106万,88万,穿越，一个令人激动，却又踌躇不决的词。当自己真的穿越后，真的能如自己曾经幻想的那样，完成自己的渴望吗？真实？虚幻？当一个个世界真实的展现在你眼前......
娱乐：民国大文豪，被蘑菇屋曝光,让热芭怀孕,1106万,104万,叶天从民国活到现在。他见过军阀混战，也见过红旗升起！《再别康桥》是他写的，泰戈尔访华是他陪着的。树人先生视他为偶像，杜月生是他的徒弟。他曾经帮助......
四合院：人在街道办，拒绝五保户,南城大帝,1106万,246万,一觉醒来，李卫东发现自己来到了四合院，成了无父无母孤儿，还跟聋老太有仇，在面对禽兽的威胁，此刻觉醒了报复系统。李卫东果断进入街道办，疯狂报复。聋......
盗墓：异人之下，九门之上,向往大秦1,1104万,275万,林川穿越到盗墓世界，绑定一人之下系统，可以通过盗墓，获得一人里的各种异能。开局更是获得‘大慈大悲肖施主，出门手提脊梁骨’肖自在的能力。拘灵遣将、......
制作全息精灵游戏，全球玩疯了！,学习资料满了,1104万,211万,陈阳穿越到一个精灵即将降临的都市世界。但这里的人们不了解精灵。一旦降临。会认为遭遇外族入侵，将发生血与火的种族大战。为了避免这种状况发生，陈阳发......
洪荒：炼假成真，我打造神话洪荒,妖扬2,1104万,299万,江晨穿越到洪荒，获得练假成真系统，脑洞多大，收获多大。于是乎，江晨开始了一番脑洞大爆炸。巫族罢战，一个个扬言要复盘盘古。妖族放眼诸天，欲要征伐万......
娱乐：大学生演大佐，建议查查吧,天杀星,1103万,177万,一觉醒来，叶轩穿越成了一名演抗日神剧的**演。并且，激活了角色扮演系统。只要扮演各种角色，他的形象和气质都会趋近于完美。“叮咚！察觉到宿主正在扮......
娱乐：被京圈封杀，千年世家曝光,妈妈的朋友,1102万,116万,二十岁的沈飞，因为酷爱表演，选择在横店当**演。因为提醒男主角不要浪费大家时间，得罪了大导演陈凯之子，京圈太子爷陈亚瑟。陈亚瑟扬言，要在整个娱乐......
航海.路飞万国女婿，从纳妾开始,空中的气球,1102万,172万,穿越海贼王世界，成为路飞，意外获得了多妻多子多福系统只要娶老婆生孩子就能得到人造果实。开启娶妻生子变强模式为了onepeace，路飞建立自己的海......
港片：比鬼背还猛，这是警察？,雨夜之神,1101万,236万,陈道开局穿越到了和联胜、古惑仔、无间道融合的港综世界。成为了一个身高两米二，体重两百二十公斤，满脸凶相的O记警员。就连搭档都说他看上去手上像是有......
挖出传国玉玺？朕没有！假的！,老汉要上天,1101万,160万,秦凉穿越平行世界绑定挖宝系统。没想到一不小心竟然把传国玉玺给挖出来了！挖出传国玉玺前：什么传国玉玺，不就是一块破石头吗。挖出传国玉玺后：朕，受命......
让你拍流浪三体，道具全是黑科技,简单常山高武,1100万,488万,孙航穿越，成为国防七子的大三学生。暑假进入《流浪地球2》剧组当科学顾问助理。此时西方对龙国卡脖子进一步收紧。鹰酱：“除了光刻机和芯片，龙国电影特......
四合院：豪横舅舅，开局胖揍棒梗,无影剑客,1100万,284万,重生四合院。居然是地狱级别的开局。还有两个拖油瓶外甥女怎么办？姜初阳表示不慌。有豪横舅舅系统在。那是神挡杀神，佛挡杀佛。至于道貌岸然的壹大爷，整......
四合院：竞选大爷，把禽兽赶出院,四合院小霸王,1100万,194万,穿越到四合院世界，刚醒来就遇上街道给每个院选管事大爷，李怀民果断参加竞选。聋老太栽赃，你五保户不想要了？贾家和易中海一伙，你家媳妇儿归我了。易中......
人在娱乐写日记，杨老板成顶流？,一朝乘风去,1100万,239万,穿越到平行世界的余墨，每天写日记就能获得各种属性加成。【不知道热吧穿嗨丝是什么样子】【真想让赵莉颖尝尝我的厉害！】【很想知道老板的脚到底臭不臭！......
塔防领主：开局十连SSS级天赋,银色的石头,1100万,216万,深渊入侵，天道觉醒，所有人都有机会觉醒成为塔防领主，前往混沌之中建造领地抵御敌人！林修穿越而来，觉醒十连SSS级天赋！【万倍经验：击杀任意敌人将......
nba:我破奇葩记录能变强,保罗爱吃糖,1099万,108万,重生的乔一航回到2010，成为钮约泥克斯队一名板凳球员。他意外打破nba记录，获得【篮球记录创新系统】。只有打破各种记录他才能变得更强。实力不够......
开局融合五条悟，被校花曝光了!,不败蔷薇,1097万,283万,【绝对爽文，黑暗风格！！】柳子墨穿越到一个和蓝星相似的世界，更是觉醒了神级融合系统。开局融合五条悟。颜值兼具战力的‘绝对天花板’。周身铭刻无下限......
让你当小摊贩，你成了将军？,我要上天榜12,1097万,379万,江白穿越特种兵世界，激活最强小贩系统，只要给部队官兵卖东西，就能获得源源不断的奖励！从此成为最强部队编外成员！军事素养之高，闻所未闻！在白天，江......
为了个藏宝图，四皇们都疯狂了！,玄幻航海,1097万,138万,凯奇穿越成了香波地的一个小兵，激活神级藏宝图系统，消费贝利购买藏宝图，就能挖出万界的好宝贝！结果刚挖出【记忆面包】和【女儿红】，就被冥王雷利看到......
盘点十大至强世界，开局完美大世,小小傲龙,1097万,176万,苏子羽穿越洪荒世界，绑定天道金榜，通过盘点榜单就能够获得奖励。于是！【盘点十大至强世界】No10:完美大世界！重瞳本是无敌路，何故再借他人至尊骨......
海洋种田：这个渔夫真的不合常理,我是浪里小白龙,1096万,60万,渔村少年叶枫，意外获得潇洒渔夫签到系统。每周签到一次，可以获得各种与海洋和捕鱼相关的神奇奖励。本就厌倦了大城市生活的他，带着系统连夜辞职回到了家......
港片：被蒋家沉海？我爆兵推洪兴,祖哥,1095万,222万,李俊穿越到八十年代的港综世界，发现自己成为洪兴有史以来最猛红棍，却因为功高盖主被蒋天生暗算沉海？获得爆兵系统的李俊决定从洪兴开始一路横推！“蒋天......
港片：我东星黑心虎，专踩洪兴,灰虎,1094万,146万,苏天重生平行港片世界，开局干掉自己大哥笑面虎，成为东星新任黑心虎。苏天：“我大哥笑面虎是个废物，连洪兴都搞不定，也配当我大哥？”苏天脸上带着不屑......
漫威：开局噬元兽来当保镖,尚书是狗,1094万,291万,什么，开局就捡到一只噬元兽？什么，史蒂夫居然获得了烈火剑法？什么，托尼居然穿上了毁灭者战甲，还带了5个7级巨型多角虫宝宝？什么，星爵居然获得了治......
都市：开局把朱�唇薪�酒店房间！,波螺油子,1094万,244万,秦恒刚从国外回来，就搬进了自己的房地产公司名下的欢乐颂小区内在搬家的第一天，秦恒突然发现自己的同层住的人居然是朱�锤�叶蓁蓁几人，而楼下住的还是曲......
民国：重生僵尸，去霓虹炼尸变强,焱�响�,1094万,217万,林尘穿越民国，成了僵尸任老太爷，本以为苟住就能崛起，却发现已被九叔用墨斗线困在棺材里，即将烧成灰烬。刚穿越就要挂了？幸好，僵尸进化系统觉醒，帮助......
每月随机新职业，开局夺刀救朱��,都市探云手,1094万,279万,一觉醒来，叶枫发现自己穿越到了欢乐颂里叶蓁蓁的哥哥身上，并且绑定了随机职业选择系统。每个月都随机体验一个新职业：小说家、地摊老板、股神、科学家.......
洪荒：打卡百万年的我被逐出阐教,四百个啊,1093万,286万,穿越洪荒，利用先知先觉，江尘选择拜入元始门下，成为阐教一代弟子。又有一个打卡系统，一时好不快活。就这样，转瞬百万年。可在这天，元始竟然来了个洪荒......
武侠：迎娶徐渭熊，获柳白传承,君执,1092万,168万,一不小心，穿越到了综武世界。当他站在北凉王府之中，见的一飒爽美女路过，直接激活神级选择系统。【神级选择系统开启！】【请宿主在以下选项中做出选择！......
港片：东星大鳄，开局十三太保！,黑桃1,1092万,233万,叶天耀穿越到八十年代港岛。因为竞争堂口揸fit人失败远走暹罗。巴闭挂了之后，叶天耀重新君临港岛。觉醒地下皇帝系统，开局魔都十三太保。师爷，小阿俏......
全民战舰：从木筏打造星际帝国,狂卷天下,1091万,163万,外星文明入侵。人类沦为生物能源。就在亡族灭种之际。星球意志降临，为人类打开战舰世界的进化之路。身为从战舰世界三年后重生回来的秦天。再次踏入到战舰......
